Date,Open,High,Low,Close,Adj Close,Volume
2015-06-05,225.29,225.29,226.36,222.15,224.22,12703848.0
2015-06-06,224.74,224.74,225.76,223.53,225.29,5074897.0
2015-06-07,223.47,223.47,226.36,222.21,224.74,9097310.0
2015-06-08,228.57,228.57,229.91,222.99,223.47,16824026.0
2015-06-09,229.56,229.56,231.36,227.51,228.57,12617632.0
2015-06-10,228.79,228.79,230.44,227.84,229.56,9556657.0
2015-06-11,229.88,229.88,230.64,228.54,228.79,8745318.0
2015-06-12,230.46,230.46,231.58,229.29,229.88,9406856.0
2015-06-13,232.48,232.48,233.14,229.01,230.46,8803491.0
2015-06-14,233.75,233.75,235.51,232.09,232.48,7700053.0
2015-06-15,237.0,237.0,238.55,233.29,233.75,15006949.0
2015-06-16,249.82,249.82,254.15,235.7,237.0,29956654.0
2015-06-17,247.38,247.38,258.48,245.09,249.82,30652977.0
2015-06-18,248.44,248.44,251.95,242.46,247.38,19421567.0
2015-06-19,244.13,244.13,250.81,243.65,248.44,20914718.0
2015-06-20,244.98,244.98,246.63,238.7,244.13,12470598.0
2015-06-21,244.1,244.1,246.03,240.94,244.98,6140997.0
2015-06-22,247.46,247.46,248.6,243.16,244.1,11713076.0
2015-06-23,243.76,243.76,247.67,242.32,247.46,9432470.0
2015-06-24,240.56,240.56,244.51,239.05,243.76,11415709.0
2015-06-25,242.56,242.56,243.65,239.32,240.56,9791297.0
2015-06-26,242.95,242.95,243.49,240.14,242.56,9112156.0
2015-06-27,250.73,250.73,251.57,241.83,242.95,13525813.0
2015-06-28,248.88,248.88,251.59,246.62,250.73,9955671.0
2015-06-29,256.97,256.97,257.54,247.96,248.88,23504772.0
2015-06-30,264.12,264.12,268.73,255.37,256.97,30621602.0
2015-07-01,257.62,257.62,265.0,254.41,264.12,17316801.0
2015-07-02,254.88,254.88,261.29,253.09,257.62,11560214.0
2015-07-03,255.4,255.4,256.71,252.44,254.88,9335969.0
2015-07-04,260.55,260.55,261.08,253.37,255.4,8502000.0
2015-07-05,270.14,270.14,274.14,257.61,260.55,12906220.0
2015-07-06,269.08,269.08,277.48,266.46,270.14,14242625.0
2015-07-07,266.21,266.21,271.34,263.21,269.08,11104556.0
2015-07-08,268.64,268.64,273.57,263.18,266.21,12157995.0
2015-07-09,269.14,269.14,272.31,265.13,268.64,13058350.0
2015-07-10,283.62,283.62,297.85,266.91,269.14,33254590.0
2015-07-11,291.97,291.97,298.76,282.28,283.62,13584989.0
2015-07-12,310.44,310.44,315.88,291.26,291.97,36866127.0
2015-07-13,290.35,290.35,310.88,276.85,310.44,42741263.0
2015-07-14,286.96,286.96,296.96,285.17,290.35,17635928.0
2015-07-15,283.42,283.42,292.92,283.17,286.96,17274148.0
2015-07-16,276.59,276.59,290.84,273.28,283.42,34155564.0
2015-07-17,279.62,279.62,280.76,271.17,276.59,17217352.0
2015-07-18,274.05,274.05,282.53,243.24,279.62,15358107.0
2015-07-19,273.18,273.18,277.07,271.85,274.05,8322466.0
2015-07-20,277.68,277.68,278.85,271.82,273.18,12900609.0
2015-07-21,275.09,275.09,281.05,274.19,277.68,13667891.0
2015-07-22,276.46,276.46,277.39,273.12,275.09,11596311.0
2015-07-23,275.52,275.52,277.85,274.47,276.46,9870635.0
2015-07-24,288.37,288.37,289.81,274.26,275.52,21095041.0
2015-07-25,288.74,288.74,291.24,284.67,288.37,12024889.0
2015-07-26,291.77,291.77,293.28,286.77,288.74,9038050.0
